time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
1/20/1990,TSN,10.818797,106.651856,1990,1,20,0.01,20.54594595,27.63783784,66.71573055,23,31.7,92.3743241,100.9691254,0.903906946,0.000155407,2.305534871,93.69132137
1/21/1990,TSN,10.818797,106.651856,1990,1,21,0.01,19.30285714,27.98,61.85811689,21.2,33.1,89.58010407,101.0037552,0.574954125,1.35E-06,1.694900921,90.82517884
1/22/1990,TSN,10.818797,106.651856,1990,1,22,0.01,21.22352941,27.48235294,70.00420092,22,32.9,88.50780321,101.0140679,0.667852466,1.91E-07,1.298682045,143.881033
1/23/1990,TSN,10.818797,106.651856,1990,1,23,0.01,20.05,26.996875,66.94037287,22.2,32.1,88.34330886,101.0752035,0.701368315,1.48E-05,1.523694661,186.1408603
1/24/1990,TSN,10.818797,106.651856,1990,1,24,0.01,19.61315789,26.75789474,66.84356277,24,32,88.50780321,101.0720204,0.316882842,0.000102822,1.782402523,204.1086248
1/25/1990,TSN,10.818797,106.651856,1990,1,25,0.01,20.00322581,25.5516129,73.449881,21.4,32.3,94.01322872,101.1661979,0.568503273,0.000168011,1.879445857,205.830915
1/26/1990,TSN,10.818797,106.651856,1990,1,26,0.01,18.83636364,27.39090909,60.866437,21.2,33,82.38239541,101.2008061,0.525316396,0,1.866332573,209.5382751
1/27/1990,TSN,10.818797,106.651856,1990,1,27,0.01,18.81212121,27.03636364,62.39279449,22,32,88.5887773,101.1264731,0.356470045,1.03E-06,1.815762137,217.4880748
1/28/1990,TSN,10.818797,106.651856,1990,1,28,0.01,20.15121951,26.66341463,68.79592688,21,33,88.50780321,101.1362344,0.180807916,1.79E-05,1.809382951,231.1244527
1/29/1990,TSN,10.818797,106.651856,1990,1,29,0.01,20.03611111,27.29444444,65.92648762,21,32,88.50780321,101.210844,0.450366042,0,1.619496512,193.6993029
1/30/1990,TSN,10.818797,106.651856,1990,1,30,0.01,19.57142857,26.82380952,66.44974334,21.3,32,88.50780321,101.1975779,0.101108927,0,1.614364721,126.633539
1/31/1990,TSN,10.818797,106.651856,1990,1,31,0.01,20.37222222,27.36666667,67.161927,21.4,33.3,88.50780321,101.1699215,0.140353917,2.40E-06,1.932747761,131.815789
