epoch,loss,mse,val_loss,val_mse
0,0.33165237307548523,0.33165237307548523,2.380826950073242,2.380826950073242
1,0.1900830864906311,0.1900830864906311,1.8506381511688232,1.8506381511688232
2,0.12928099930286407,0.12928099930286407,1.4690066576004028,1.4690066576004028
3,0.09785783290863037,0.09785783290863037,1.1660057306289673,1.1660057306289673
4,0.07185017317533493,0.07185017317533493,0.9001350402832031,0.9001350402832031
5,0.04633520916104317,0.04633520916104317,0.6560410857200623,0.6560410857200623
6,0.019967252388596535,0.019967252388596535,0.45112916827201843,0.45112916827201843
7,0.009147590026259422,0.009147590026259422,0.3381274938583374,0.3381274938583374
8,0.007107970770448446,0.007107970770448446,0.28176265954971313,0.28176265954971313
9,0.006180192343890667,0.006180192343890667,0.25977060198783875,0.25977060198783875
10,0.006075789220631123,0.006075789220631123,0.24545694887638092,0.24545694887638092
11,0.006167843472212553,0.006167843472212553,0.23238632082939148,0.23238632082939148
12,0.004900227766484022,0.004900227766484022,0.2284461259841919,0.2284461259841919
13,0.004729264881461859,0.004729264881461859,0.22511668503284454,0.22511668503284454
14,0.004507650621235371,0.004507650621235371,0.2177562117576599,0.2177562117576599
15,0.0052098906598985195,0.0052098906598985195,0.2128223180770874,0.2128223180770874
16,0.00478486530482769,0.00478486530482769,0.21385332942008972,0.21385332942008972
17,0.003950710874050856,0.003950710874050856,0.21481212973594666,0.21481212973594666
18,0.0037892553955316544,0.0037892553955316544,0.22067274153232574,0.22067274153232574
19,0.0040658568032085896,0.0040658568032085896,0.20902952551841736,0.20902952551841736
20,0.003728291019797325,0.003728291019797325,0.20762930810451508,0.20762930810451508
21,0.0033893997315317392,0.0033893997315317392,0.20483087003231049,0.20483087003231049
22,0.003419814631342888,0.003419814631342888,0.20776496827602386,0.20776496827602386
23,0.0032014353200793266,0.0032014353200793266,0.2036960870027542,0.2036960870027542
24,0.003463601926341653,0.003463601926341653,0.20230144262313843,0.20230144262313843
25,0.0032528876326978207,0.0032528876326978207,0.1996259093284607,0.1996259093284607
26,0.0031047069933265448,0.0031047069933265448,0.19600507616996765,0.19600507616996765
27,0.0036291531287133694,0.0036291531287133694,0.19612187147140503,0.19612187147140503
28,0.003081351751461625,0.003081351751461625,0.1960393339395523,0.1960393339395523
29,0.0027054608799517155,0.0027054608799517155,0.18501684069633484,0.18501684069633484
30,0.0031071205157786608,0.0031071205157786608,0.1815589964389801,0.1815589964389801
31,0.0028849150985479355,0.0028849150985479355,0.1769234538078308,0.1769234538078308
32,0.0025973550509661436,0.0025973550509661436,0.1762450486421585,0.1762450486421585
33,0.0026196667458862066,0.0026196667458862066,0.1692199558019638,0.1692199558019638
34,0.002878747181966901,0.002878747181966901,0.16824446618556976,0.16824446618556976
35,0.002624247223138809,0.002624247223138809,0.16915002465248108,0.16915002465248108
36,0.002421075478196144,0.002421075478196144,0.1687396764755249,0.1687396764755249
37,0.002392181660979986,0.002392181660979986,0.1644100397825241,0.1644100397825241
38,0.002777915447950363,0.002777915447950363,0.1641322374343872,0.1641322374343872
39,0.002586190588772297,0.002586190588772297,0.15727688372135162,0.15727688372135162
